sourceid_uber,name,image_url,Coke_shows,city,food_type,Coke_in_Menu
c8c4f079-edf7-4659-9006-8e47624a4dad,None,https://duyt4h9nfnj50.cloudfront.net/sku/8b9e1ff91363f67906be34852ca60c3f,Coke,None,None,None
78df751f-cf26-46c3-9361-b69c91cf2fc6,None,https://duyt4h9nfnj50.cloudfront.net/sku/7ea2d62d2a2937e36bd62a36ceae6c6b,Coke,None,None,None
abec59d7-3ccd-4205-9296-437bf583c139,None,https://duyt4h9nfnj50.cloudfront.net/sku/bd3f21750a6026f2f25f2f2dc43e01eb,Coke,None,None,None
25805f04-67d4-4d3e-b9db-a9f65e9667d1,None,https://d1ralsognjng37.cloudfront.net/f8d7f9bf-7679-4f27-907a-772450dc292b,Coke,None,None,None
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/5bf5b7ae-b1ee-4582-b421-a2c198bf8d9c,Coke,Christchurch,American,coke
1d1a5623-d7d3-40ad-bcc9-cf3ef5eb507a,None,https://duyt4h9nfnj50.cloudfront.net/sku/b5b3a5cd5dfbf4c93fb6c8f4eb790aa1,Coke,None,None,None
3e7e5339-6489-4dd0-8d37-8c37c3d0798d,None,https://d1ralsognjng37.cloudfront.net/b4d9dad7-d47f-40eb-9148-955d5a7de880,Coke,Melbourne,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/216e4474-e2ed-4a19-a3cb-6d6c61942df7,Coke,Christchurch,American,coke
3e7e5339-6489-4dd0-8d37-8c37c3d0798d,None,https://d1ralsognjng37.cloudfront.net/a5503b30-2f25-4f01-825f-a2660c4fecd0,Coke,Melbourne,American,coke
2a13badb-49a1-4e7a-bf3a-27f8ab3ba78b,None,https://duyt4h9nfnj50.cloudfront.net/sku/4c1f4003ec5180d95515ec38b7d444e8,Coke,None,None,None
c84b3c30-994c-4048-a3d6-40d83a1e65bd,None,https://duyt4h9nfnj50.cloudfront.net/sku/b62592778f7a1b8056740e6470bf8340,Coke,Melbourne,Chinese,coke
54779a25-1170-4132-841d-9f265a07762d,None,https://duyt4h9nfnj50.cloudfront.net/sku/5f1cb78f4b401aa82838ae7da525790d,Coke,None,None,None
c84b3c30-994c-4048-a3d6-40d83a1e65bd,None,https://duyt4h9nfnj50.cloudfront.net/sku/0e4c80289eff3afc5cfd3eb6ae5fef47,Coke,Melbourne,Chinese,coke
29a359ba-4ea6-442d-94a2-1e34d9282e63,None,https://duyt4h9nfnj50.cloudfront.net/sku/4bc20196c9df63e7925780c32ef7c149,Coke,None,None,None
52de953d-f801-4b4e-918f-f9d3e4c1af30,None,https://d1ralsognjng37.cloudfront.net/898805d0-fcae-4580-a235-e7588f4347e5,Coke,Perth,Australian,coke
41038397-664a-4bcd-ac24-a6758175f7a0,None,https://d2f4h6un6ehgr5.cloudfront.net/UE-1012_GMA.png,Coke,Melbourne,American,coke
3e7e5339-6489-4dd0-8d37-8c37c3d0798d,None,https://d1ralsognjng37.cloudfront.net/09b2b580-9989-41ca-87d3-8f7cf0167e65,Coke,Melbourne,American,coke
